"participant..id","trial","reaction.time","stimulus","condition"
10168827,"START",NA,"positive","ABC"
10168827,"Congruent",627.183,"positive","ABC"
10168827,"Incongruent",621.178,"positive","ABC"
10168827,"Congruent",604.43,"positive","ABC"
10168827,"Incongruent",287.365,"positive","ABC"
10168827,"Congruent",284.131,"positive","ABC"
10168827,"Incongruent",592.393,"positive","ABC"
10168827,"END",NA,"positive","ABC"
10192092,"START",NA,"positive","ABC"
10192092,"Congruent",661.832,"positive","ABC"
10192092,"Incongruent",520.956,"positive","ABC"
10192092,"Congruent",452.331,"positive","ABC"
10192092,"Incongruent",764.017,"positive","ABC"
10192092,"Congruent",446.485,"positive","ABC"
10192092,"Incongruent",378.115,"positive","ABC"
10192092,"END",NA,"positive","ABC"
10208522,"START",NA,"positive","ABC"
10208522,"Congruent",405.001,"positive","ABC"
10208522,"Incongruent",316.477,"positive","ABC"
10208522,"Congruent",814.314,"positive","ABC"
10208522,"Incongruent",595.517,"positive","ABC"
10208522,"Congruent",451.908,"positive","ABC"
10208522,"Incongruent",611.322,"positive","ABC"
10208522,"END",NA,"positive","ABC"
10218310,"START",NA,"positive","ABC"
10218310,"Congruent",363.048,"positive","ABC"
10218310,"Incongruent",534.657,"positive","ABC"
10218310,"Congruent",225.707,"positive","ABC"
10218310,"Incongruent",224.007,"positive","ABC"
10218310,"Congruent",343.435,"positive","ABC"
10218310,"Incongruent",579.839,"positive","ABC"
10218310,"END",NA,"positive","ABC"
10225898,"START",NA,"positive","ABC"
10225898,"Congruent",340.71,"positive","ABC"
10225898,"Incongruent",774.979,"positive","ABC"
10225898,"Congruent",416.677,"positive","ABC"
10225898,"Incongruent",278.598,"positive","ABC"
10225898,"Congruent",324.382,"positive","ABC"
10225898,"Incongruent",576.633,"positive","ABC"
10225898,"END",NA,"positive","ABC"
10228586,"START",NA,"positive","ABC"
10228586,"Congruent",843.645,"positive","ABC"
10228586,"Incongruent",458.694,"positive","ABC"
10228586,"Congruent",329.686,"positive","ABC"
10228586,"Incongruent",518.414,"positive","ABC"
10228586,"Congruent",752.918,"positive","ABC"
10228586,"Incongruent",323.749,"positive","ABC"
10228586,"END",NA,"positive","BCA"
10229408,"START",NA,"positive","BCA"
10229408,"Congruent",609.911,"positive","BCA"
10229408,"Incongruent",615.164,"positive","BCA"
10229408,"Congruent",231.644,"positive","BCA"
10229408,"Incongruent",405.781,"positive","BCA"
10229408,"Congruent",755.726,"positive","BCA"
10229408,"Incongruent",361.912,"positive","BCA"
10229408,"END",NA,"positive","BCA"
10229415,"START",NA,"positive","BCA"
10229415,"Congruent",467.721,"positive","BCA"
10229415,"Incongruent",599.674,"positive","BCA"
10229415,"Congruent",568.326,"positive","BCA"
10229415,"Incongruent",588.138,"positive","BCA"
10229415,"Congruent",674.829,"positive","BCA"
10229415,"Incongruent",516.733,"positive","BCA"
10229415,"END",NA,"positive","BCA"
10229418,"START",NA,"positive","BCA"
10229418,"Congruent",448.451,"positive","BCA"
10229418,"Incongruent",707.829,"positive","BCA"
10229418,"Congruent",524.07,"positive","BCA"
10229418,"Incongruent",569.954,"positive","BCA"
10229418,"Congruent",638.268,"positive","BCA"
10229418,"Incongruent",732.092,"positive","BCA"
10229418,"END",NA,"positive","BCA"
10229414,"START",NA,"positive","BCA"
10229414,"Congruent",734.587,"positive","BCA"
10229414,"Incongruent",643.996,"positive","BCA"
10229414,"Congruent",467.891,"positive","BCA"
10229414,"Incongruent",408.963,"positive","BCA"
10229414,"Congruent",451.558,"positive","BCA"
10229414,"Incongruent",421.434,"positive","BCA"
10229414,"END",NA,"positive","BCA"
10229407,"START",NA,"positive","BCA"
10229407,"Congruent",283.556,"positive","BCA"
10229407,"Incongruent",403.851,"positive","BCA"
10229407,"Congruent",365.713,"positive","BCA"
10229407,"Incongruent",526.002,"positive","BCA"
10229407,"Congruent",683.447,"positive","BCA"
10229407,"Incongruent",170.962,"positive","BCA"
10229407,"END",NA,"positive","BCA"
10229412,"START",NA,"positive","BCA"
10229412,"Congruent",743.571,"positive","BCA"
10229412,"Incongruent",651.485,"positive","BCA"
10229412,"Congruent",463.368,"positive","BCA"
10229412,"Incongruent",349.46,"positive","BCA"
10229412,"Congruent",335.95,"positive","BCA"
10229412,"Incongruent",558.782,"positive","CAB"
10229412,"END",NA,"positive","CAB"
10229410,"START",NA,"positive","CAB"
10229410,"Congruent",592.959,"positive","CAB"
10229410,"Incongruent",674.01,"positive","CAB"
10229410,"Congruent",633.227,"positive","CAB"
10229410,"Incongruent",439.914,"positive","CAB"
10229410,"Congruent",545.952,"positive","CAB"
10229410,"Incongruent",604.435,"positive","CAB"
10229410,"END",NA,"positive","CAB"
10229409,"START",NA,"positive","CAB"
10229409,"Congruent",602.328,"positive","CAB"
10229409,"Incongruent",717.697,"positive","CAB"
10229409,"Congruent",418.558,"positive","CAB"
10229409,"Incongruent",448.412,"positive","CAB"
10229409,"Congruent",679.058,"positive","CAB"
10229409,"Incongruent",762.326,"positive","CAB"
10229409,"END",NA,"positive","CAB"
10229421,"START",NA,"positive","CAB"
10229421,"Congruent",227.257,"positive","CAB"
10229421,"Incongruent",631.065,"positive","CAB"
10229421,"Congruent",495.611,"positive","CAB"
10229421,"Incongruent",635.223,"positive","CAB"
10229421,"Congruent",363.88,"positive","CAB"
10229421,"Incongruent",291.144,"positive","CAB"
10229421,"END",NA,"positive","CAB"
10229425,"START",NA,"positive","CAB"
10229425,"Congruent",566.26,"positive","CAB"
10229425,"Incongruent",484.463,"positive","CAB"
10229425,"Congruent",403.661,"positive","CAB"
10229425,"Incongruent",484.448,"positive","CAB"
10229425,"Congruent",648.636,"positive","CAB"
10229425,"Incongruent",767.357,"positive","CAB"
10229425,"END",NA,"positive","CAB"
10229431,"START",NA,"positive","CAB"
10229431,"Congruent",258.943,"positive","CAB"
10229431,"Incongruent",434.622,"positive","CAB"
10229431,"Congruent",905.465,"positive","CAB"
10229431,"Incongruent",649.614,"positive","CAB"
10229431,"Congruent",461.678,"positive","CAB"
10229431,"Incongruent",392.128,"positive","CAB"
10229431,"END",NA,"positive","CAB"
10229429,"START",NA,"positive","CAB"
10229429,"Congruent",881.728,"positive","CAB"
10229429,"Incongruent",546.484,"positive","CAB"
10229429,"Congruent",658.58,"positive","CAB"
10229429,"Incongruent",729.623,"positive","CAB"
10229429,"Congruent",889.947,"positive","ACB"
10229429,"Incongruent",299.179,"positive","ACB"
10229429,"END",NA,"positive","ACB"
10229422,"START",NA,"positive","ACB"
10229422,"Congruent",82.107,"positive","ACB"
10229422,"Incongruent",551.372,"positive","ACB"
10229422,"Congruent",740.735,"positive","ACB"
10229422,"Incongruent",431.288,"positive","ACB"
10229422,"Congruent",352.525,"positive","ACB"
10229422,"Incongruent",605.715,"positive","ACB"
10229422,"END",NA,"positive","ACB"
10229436,"START",NA,"positive","ACB"
10229436,"Congruent",606.714,"positive","ACB"
10229436,"Incongruent",634.033,"positive","ACB"
10229436,"Congruent",475.335,"positive","ACB"
10229436,"Incongruent",371.02,"positive","ACB"
10229436,"Congruent",557.765,"positive","ACB"
10229436,"Incongruent",435.437,"positive","ACB"
10229436,"END",NA,"positive","ACB"
10229433,"START",NA,"positive","ACB"
10229433,"Congruent",355.234,"positive","ACB"
10229433,"Incongruent",616.065,"positive","ACB"
10229433,"Congruent",461.849,"positive","ACB"
10229433,"Incongruent",699.954,"positive","ACB"
10229433,"Congruent",464.101,"positive","ACB"
10229433,"Incongruent",373.674,"positive","ACB"
10229433,"END",NA,"positive","ACB"
10229428,"START",NA,"positive","ACB"
10229428,"Congruent",359.233,"positive","ACB"
10229428,"Incongruent",623.82,"positive","ACB"
10229428,"Congruent",423.639,"positive","ACB"
10229428,"Incongruent",419.132,"positive","ACB"
10229428,"Congruent",637.541,"positive","ACB"
10229428,"Incongruent",348.892,"positive","ACB"
10229428,"END",NA,"positive","ACB"
10229440,"START",NA,"positive","ACB"
10229440,"Congruent",560.026,"positive","ACB"
10229440,"Incongruent",424.926,"positive","ACB"
10229440,"Congruent",477.939,"positive","ACB"
10229440,"Incongruent",496.395,"positive","ACB"
10229440,"Congruent",287.985,"positive","ACB"
10229440,"Incongruent",419.47,"positive","ACB"
10229440,"END",NA,"positive","ACB"
10229450,"START",NA,"positive","ACB"
10229450,"Congruent",460.672,"positive","ACB"
10229450,"Incongruent",739.215,"positive","ACB"
10229450,"Congruent",377.074,"positive","ACB"
10229450,"Incongruent",447.052,"positive","ABC"
10229450,"Congruent",450.62,"positive","ABC"
10229450,"Incongruent",472.627,"positive","ABC"
10229450,"END",NA,"positive","ABC"
10229468,"START",NA,"positive","ABC"
10229468,"Congruent",481.516,"positive","ABC"
10229468,"Incongruent",500.819,"positive","ABC"
10229468,"Congruent",694.855,"positive","ABC"
10229468,"Incongruent",389.03,"positive","ABC"
10229468,"Congruent",771.24,"positive","ABC"
10229468,"Incongruent",923.71,"positive","ABC"
10229468,"END",NA,"positive","ABC"
10229489,"START",NA,"positive","ABC"
10229489,"Congruent",325.231,"positive","ABC"
10229489,"Incongruent",397.337,"positive","ABC"
10229489,"Congruent",403.761,"positive","ABC"
10229489,"Incongruent",769.69,"positive","ABC"
10229489,"Congruent",198.961,"positive","ABC"
10229489,"Incongruent",281.901,"positive","ABC"
10229489,"END",NA,"positive","ABC"
10229499,"START",NA,"positive","ABC"
10229499,"Congruent",671.939,"positive","ABC"
10229499,"Incongruent",216.717,"positive","ABC"
10229499,"Congruent",346.964,"positive","ABC"
10229499,"Incongruent",108.792,"positive","ABC"
10229499,"Congruent",313.094,"positive","ABC"
10229499,"Incongruent",476.448,"positive","ABC"
10229499,"END",NA,"positive","ABC"
10229522,"START",NA,"positive","ABC"
10229522,"Congruent",261.673,"positive","ABC"
10229522,"Incongruent",374.921,"positive","ABC"
10229522,"Congruent",267.307,"positive","ABC"
10229522,"Incongruent",535.836,"positive","ABC"
10229522,"Congruent",654.874,"positive","ABC"
10229522,"Incongruent",143.822,"positive","ABC"
10229522,"END",NA,"positive","ABC"
10229525,"START",NA,"positive","ABC"
10229525,"Congruent",352.048,"positive","ABC"
10229525,"Incongruent",543.351,"positive","ABC"
10229525,"Congruent",798.353,"positive","ABC"
10229525,"Incongruent",494.69,"positive","ABC"
10229525,"Congruent",170.099,"positive","ABC"
10229525,"Incongruent",479.505,"positive","ABC"
10229525,"END",NA,"positive","ABC"
10229575,"START",NA,"positive","ABC"
10229575,"Congruent",171.091,"positive","ABC"
10229575,"Incongruent",418.893,"positive","ABC"
10229575,"Congruent",642.989,"positive","BCA"
10229575,"Incongruent",669.255,"positive","BCA"
10229575,"Congruent",454.822,"positive","BCA"
10229575,"Incongruent",621.259,"positive","BCA"
10229575,"END",NA,"positive","BCA"
10230533,"START",NA,"positive","BCA"
10230533,"Congruent",933.738,"positive","BCA"
10230533,"Incongruent",456.998,"positive","BCA"
10230533,"Congruent",487.464,"positive","BCA"
10230533,"Incongruent",860.583,"positive","BCA"
10230533,"Congruent",724.553,"positive","BCA"
10230533,"Incongruent",424.553,"positive","BCA"
10230533,"END",NA,"positive","BCA"
10230537,"START",NA,"positive","BCA"
10230537,"Congruent",460.652,"positive","BCA"
10230537,"Incongruent",546.499,"positive","BCA"
10230537,"Congruent",455.572,"positive","BCA"
10230537,"Incongruent",441.584,"positive","BCA"
10230537,"Congruent",770.065,"positive","BCA"
10230537,"Incongruent",408.6,"positive","BCA"
10230537,"END",NA,"positive","BCA"
10230546,"START",NA,"positive","BCA"
10230546,"Congruent",531.636,"positive","BCA"
10230546,"Incongruent",306.343,"positive","BCA"
10230546,"Congruent",143.371,"positive","BCA"
10230546,"Incongruent",847.365,"positive","BCA"
10230546,"Congruent",183.934,"positive","BCA"
10230546,"Incongruent",453.604,"positive","BCA"
10230546,"END",NA,"positive","BCA"
10230547,"START",NA,"positive","BCA"
10230547,"Congruent",171.771,"positive","BCA"
10230547,"Incongruent",370.972,"positive","BCA"
10230547,"Congruent",265.526,"positive","BCA"
10230547,"Incongruent",757.859,"positive","BCA"
10230547,"Congruent",189.295,"positive","BCA"
10230547,"Incongruent",317.319,"positive","BCA"
10230547,"END",NA,"positive","BCA"
10230541,"START",NA,"positive","BCA"
10230541,"Congruent",548.582,"positive","BCA"
10230541,"Incongruent",540.509,"positive","BCA"
10230541,"Congruent",534.261,"positive","BCA"
10230541,"Incongruent",506.787,"positive","BCA"
10230541,"Congruent",576.806,"positive","BCA"
10230541,"Incongruent",611.729,"positive","BCA"
10230541,"END",NA,"positive","BCA"
10230551,"START",NA,"positive","BCA"
10230551,"Congruent",582.57,"positive","BCA"
10230551,"Incongruent",545.045,"positive","CAB"
10230551,"Congruent",907.349,"positive","CAB"
10230551,"Incongruent",806.864,"positive","CAB"
10230551,"Congruent",347.429,"positive","CAB"
10230551,"Incongruent",557.503,"positive","CAB"
10230551,"END",NA,"positive","CAB"
10230559,"START",NA,"positive","CAB"
10230559,"Congruent",366.667,"positive","CAB"
10230559,"Incongruent",488.427,"positive","CAB"
10230559,"Congruent",396.426,"positive","CAB"
10230559,"Incongruent",332.937,"positive","CAB"
10230559,"Congruent",873.533,"positive","CAB"
10230559,"Incongruent",613.45,"positive","CAB"
10230559,"END",NA,"positive","CAB"
10230571,"START",NA,"positive","CAB"
10230571,"Congruent",-58.575,"positive","CAB"
10230571,"Incongruent",178.997,"positive","CAB"
10230571,"Congruent",602.738,"positive","CAB"
10230571,"Incongruent",39.846,"positive","CAB"
10230571,"Congruent",381.206,"positive","CAB"
10230571,"Incongruent",608.175,"positive","CAB"
10230571,"END",NA,"positive","CAB"
10230576,"START",NA,"positive","CAB"
10230576,"Congruent",448.579,"positive","CAB"
10230576,"Incongruent",451.674,"positive","CAB"
10230576,"Congruent",410.679,"positive","CAB"
10230576,"Incongruent",472.602,"positive","CAB"
10230576,"Congruent",464.738,"positive","CAB"
10230576,"Incongruent",720.658,"positive","CAB"
10230576,"END",NA,"positive","CAB"
10230578,"START",NA,"positive","CAB"
10230578,"Congruent",710.364,"positive","CAB"
10230578,"Incongruent",464.83,"positive","CAB"
10230578,"Congruent",412.267,"positive","CAB"
10230578,"Incongruent",571.857,"positive","CAB"
10230578,"Congruent",388.437,"positive","CAB"
10230578,"Incongruent",430.321,"positive","CAB"
10230578,"END",NA,"positive","CAB"
